지점,일시,평균,최고,최저
90,1999-04-01,11.5,25.6,0
90,1999-05-01,17,29.5,8.2
90,1999-06-01,20.8,32.5,14.7
90,1999-07-01,23.1,33.3,15.1
90,1999-08-01,23.3,30.7,18.7
90,1999-09-01,21.5,32,12.9
90,1999-10-01,14.9,25,5
90,1999-11-01,9.3,19.2,-2.4
90,1999-12-01,3.1,12.4,-8.6
90,2000-01-01,-0.4,9.9,-10.9
90,2000-02-01,-0.1,9.2,-8.6
90,2000-03-01,6.9,18.5,-4.2
90,2000-04-01,11.2,24.1,2.4
90,2000-05-01,14.3,30.5,6.2
90,2000-06-01,19.2,33.3,9.7
90,2000-07-01,24.8,33.6,17
90,2000-08-01,24,33.7,17.9
90,2000-09-01,18.6,32,11.2
90,2000-10-01,14.5,23,5.1
90,2000-11-01,7.8,19.9,-2.1
90,2000-12-01,3.2,14.5,-9.9
90,2001-01-01,-2.3,6.2,-14.6
90,2001-02-01,1.2,16.2,-8.4
90,2001-03-01,5.6,19.9,-6
90,2001-04-01,12.3,25.2,1.2
90,2001-05-01,17.2,31.2,6.5
90,2001-06-01,20,34.2,12.9
90,2001-07-01,23.4,31.3,15.7
90,2001-08-01,22.4,30.9,14.6
90,2001-09-01,20,29.3,9.6
90,2001-10-01,15.9,24.9,7.6
90,2001-11-01,8.8,20.2,-2.8
90,2001-12-01,1.4,10.1,-6.6
90,2002-01-01,0.8,15.8,-11
90,2002-02-01,4.2,14.2,-6.3
90,2002-03-01,8.7,20.3,-1
90,2002-04-01,12.2,29.6,2.5
90,2002-05-01,15.6,28.4,4.8
90,2002-06-01,19.5,33.1,11.9
90,2002-07-01,21.9,36.6,17
90,2002-08-01,22.7,34.6,15.6
90,2002-09-01,19.1,34.1,12.1
90,2002-10-01,13,24.5,0.2
90,2002-11-01,5.1,21,-3.5
90,2002-12-01,1.2,17.6,-9.8
90,2003-01-01,-1.6,11.3,-14.8
90,2003-02-01,1.6,11.1,-9.8
90,2003-03-01,4.5,19.9,-7.3
90,2003-04-01,11,26.6,-0.1
90,2003-05-01,14.8,27.7,4.4
90,2003-06-01,20.3,31.2,11.8
90,2003-07-01,20.8,27.6,16.7
90,2003-08-01,22.5,33.2,16.3
90,2003-09-01,19.7,28.5,9.5
90,2003-10-01,14.1,23,3.6
90,2003-11-01,9.3,23.3,-2.9
90,2003-12-01,2.9,12.8,-8.2
90,2004-01-01,0.5,9.6,-15.6
90,2004-02-01,3.6,19.1,-7.9
90,2004-03-01,6.9,22.9,-5.7
